Key,japanese
meleeWpnClubT3SteelClubDesc,鉄鋼製棍棒は非常に丈夫で、強打をかますことができます。\n\n鉄鋼製棍棒パーツで修理可能。\n解体すると鉄鋼製棍棒パーツに。

meleeWpnBatonT2StunBatonDesc,バチッとなる。\n\nバトンパーツで修理可能。\n解体するとバトンパーツに。

meleeWpnSpearT3SteelSpearDesc,槍は他の武器よりも攻撃範囲が広くなっています。\n\n鉄鋼槍パーツで修理可能。\n解体すると鉄鋼槍パーツに。

meleeWpnSledgeT3SteelSledgehammerDesc,頭蓋骨を叩き割るにはスレッジハンマーに限ります。\n\n鉄鋼製スレッジハンマーパーツで修理可能。\n解体すると鉄鋼製スレッジハンマーパーツに。

meleeWpnKnucklesT3SteelKnucklesDesc,手を保護して一撃一撃をもっと重く。刃がついているので動物の解体にも役に立ちます。\n\n鉄鋼ナックルパーツで修理可能。\n解体すると鉄鋼ナックルパーツに

gunHandgunT1PistolDesc,9mm弾を使用するベーシックなピストル。\n\nハンドガンパーツで修理可能。\n解体するとハンドガンパーツに。

gunHandgunT2Magnum44Desc,.44マグナムはハンドガンの王様です。最も強力で発砲音も最大です。この銃を装備してクリントイーストウッドのように颯爽と振舞いましょう。\n\nハンドガンパーツで修理可能。\n解体するとハンドガンパーツに。

gunHandgunT3DesertVultureDesc,この重拳銃は、.44マグナム弾を使用しています。\n\nハンドガンパーツで修理可能。\n解体するとハンドガンパーツに。

gunHandgunT3SMG5Desc,9mm弾を使用するサブマシンガンです。\n\nハンドガンパーツで修理可能。\n解体するとハンドガンパーツに。

gunMGT1AK47Desc,このいかにもワルそうなAK-47マシンガンには7.62mm弾を使用します。\n\nマシンガンパーツで修理可能。\n解体するとマシンガンパーツに。

gunMGT2TacticalARDesc,タクティカルアサルトライフルには7.62mm弾が使用されます。\n\nマシンガンパーツで修理可能。\n解体するとマシンガンパーツに。

gunMGT3M60Desc,マシンガンはやや取り回しに苦労しますが、自動連射にとても優れています。これには7.62mm弾を使用します。\n\nマシンガンパーツで修理可能。\n解体するとマシンガンパーツに。

gunRifleT0PipeRifleDesc,.308弾を発射する手作りのライフル。\n\n鉄パイプ（ショート）で修理します。\n解体すると鉄に。

gunRifleT1HuntingRifleDesc,.308弾を使用する普通の農夫が持つような狩猟ライフルです。\n\nライフルパーツで修理可能。\n解体するとライフルパーツに。

gunRifleT2LeverActionRifleDesc,このレバーアクションライフルには.308弾を使用します。命中精度を上げたいならこれしかありません。\n\nライフルパーツで修理可能。\n解体するとライフルパーツに。

gunRifleT3SniperRifleDesc,この高い精密性を持った遠距離ライフルは、遠くから敵を狙うのに最適です。\n\nライフルパーツで修理可能。\n解体するとライフルパーツに。

gunShotgunT1DoubleBarrelDesc,錆びついて古くなった2連ショットガンです。近距離での皆殺しにピッタリ。\n\nショットガンパーツで修理可能。\n解体するとショットガンパーツに。

gunShotgunT2PumpShotgunDesc,ポンプアクション式で装填する銃身の長いショットガンです。\n\nショットガンパーツで修理可能。\n解体するとショットガンパーツに。

gunShotgunT3AutoShotgunDesc,このセミオートショットガンは、その進路上にあるものすべてをひき肉にすることができる破滅的で珍しい近距離武器です。\n\nショットガンパーツで修理可能。\n解体するとショットガンパーツに。

gunBowT1WoodenBowDesc,狩りやゾンビ殺しに有効です。弾薬として矢を使用します。\nリロード長押しで別の弾薬を使用できます。\n\n弓/クロスボウパーツで修理可能。\n解体すると弓/クロスボウパーツに。

gunBowT3CompoundBowDesc,複合弓は通常の弓よりも大きなダメージを与えることができ、より直線的に飛ぶので狙いをつけやすくなります。\n\n弓/クロスボウパーツで修理可能。\n解体すると弓/クロスボウパーツに。

gunBowT1IronCrossbowDesc,クロスボウは普通の弓よりもリロードに時間がかかりますが、より大きなダメージを与えることができます。\nこの武器は水中でも発射できます。\nリロード長押しで別の弾薬を使用できます。\n弓/クロスボウパーツで修理可能。\n解体すると弓/クロスボウパーツ

gunBotT1JunkSledgeDesc,あなたのパンチは強くないかもしれませんが、化学の技術は持ち合わせています。\n第二アクションで地面に展開することも可能です。\n\nロボットパーツで修理可能。\n解体するとロボットパーツに。

gunBotT2JunkTurretDesc,銃のように発砲やリロードができる珍妙な装置です。弾薬としてロボット砲台用弾薬を使用します。\n第二アクションで地面に展開することも可能です。\n\nロボットパーツで修理可能。\n解体するとロボットパーツに。

gunBotT3JunkDroneDesc,ロボットパーツと鉄くずから作られたロボットドローンは、終末世界での究極のコンパニオンです。あなたを治療したり、アイテムを運ぶことができます。\nロボットパーツで修理可能。\n解体するとロボットパーツに。

ammoBundleShotgunBreachingSlug,ショットガン用リーサルスラッグ弾（100）個入りの箱
ammoShotgunBreachingSlug,ショットガン用リーサルスラッグ弾（弾薬）
ammoShotgunBreachingSlugDesc,近距離において致命的な攻撃力を持ち、蝶番や鍵を破壊できるように設計されています。\n通常のスラッグ弾と違い威力を発揮する射程は短く、貫通力も低めです。


perkShotgunMessiahBreachingSlugsDesc,ショットガン用リーサルスラッグ弾のクラフトレシピをアンロック。

perkShotgunMessiahBreachingSlugsLongDesc,リーサルスラッグ弾：\n近距離において致命的な威力を持ち、ドアや金庫といった頑丈な物を破壊する事もできる、特別な弾薬をクラフトしましょう。\nショットガン用リーサルスラッグ弾のクラフトレシピをアンロック。



modArmorBandolierDesc,リロード速度が20%上昇する。
modMeleeFiremansAxeModDesc,ブロックに対するダメージが33%上昇しますが、敵に対するダメージは25%低下します。
modGunMeleeTheHunterDesc,すべての動物へのダメージが+33%。
modMeleeBunkerBusterDesc,石に対するダメージが33%向上します。
modMeleeDiamondTipDesc,この変更によってあらゆる手持ちツールやブレード武器の耐久値減少率50%軽減。
modMeleeErgonomicGripDesc,近接戦闘時のスタミナ消費量を15%低減し、弓の取り回しを25%上昇させます。
modMeleeFortifyingGripDesc,このグリップに染み込ませてある希少な治療薬により、体力が5秒おきに1回復します。
modMeleeGraveDiggerDesc,土に対するダメージが33%向上します。
modMeleeIronBreakerDesc,金属に対するダメージが33%向上します。
modMeleeWoodSplitterDesc,木に対するダメージが33%向上します。
modArmorPerceptionDesc,このAI強化コンタクトレンズは、頭用アーマーに取り付けることで視力と照準を強化する。\n\n知覚特性2上昇
modArmorStrengthDesc,このAI神経チップは頭用アーマーに取り付けるように設計されており、ミオスタチンをバイパスして筋力を強化します。\n\n力特性2上昇
modArmorFortitudeDesc,このAI強化した神経インターフェースは、頭用アーマーに組み込むことで免疫システムを高めます。\n\n忍耐特性2上昇
modArmorAgilityDesc,このAI主導のニューラル・インターフェイスは、頭用アーマーに組み込まれることで、神経信号の伝達を大幅に加速させます。\n\n素早さ特性2上昇
modArmorIntellectDesc,この便利な頭アーマー用AIコンパニオンは、黙示録以前からのアーカイブ情報を提供し、知性を刺激します。\n\n知能特性2上昇
modArmorTreasureHunterDesc,このAI強化頭アーマー用改造パーツは学習速度を高め、貴重な戦利品や埋もれた宝を発見する能力を向上させる。\n\n獲得経験値 20%上昇\n略奪品ステージ 10上昇\n宝捜索範囲縮小に必要な穴掘り回数が1回分減る

perkAnimalTrackerDesc,近くの動物を検出して追跡し、空腹にならないようにします。
perkAnimalTrackerRank1LongDesc,鋭い視力でニワトリ、ウサギ、ヘビなどの小動物の足跡を見つけることができます。\n100m以内の追跡した動物のアイコンがコンパスと地図に表示されます。
perkAnimalTrackerRank2LongDesc,あなたのタカのような感覚は、シカやイノシシ、コヨーテも感知できます。\n125m以内の追跡した動物のアイコンがコンパスと地図に表示されます。
perkAnimalTrackerRank3LongDesc,究極のトラッカーになるのです。オオカミ、ゾンビ犬のような捕食者も感知できます。\n150m以内の追跡した動物のアイコンがコンパスと地図に表示されます。
perkAnimalTrackerRank4LongDesc,足跡が大きくなれば、危険も大きくなります。\n175m以内のクーガやクマのような大きな獲物も感知できます。
perkAnimalTrackerRank5LongDesc,荒地を支配しているのはダイアウルフやゾンビクマかもしれませんが、200m以内の彼らをも簡単に感知できます。

attPerceptionRank01LongDesc,あなたは知覚面ではかなりぼんやりとしています。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が2%、ヘッドショットダメージ量が200%上昇。
attPerceptionRank02LongDesc,まだ周囲の物事を把握しきれていません。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が4%、ヘッドショットダメージ量が210%上昇。
attPerceptionRank03LongDesc,時おり物を見逃しますが、前よりはだいぶ良くなっています。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が6%、ヘッドショットダメージ量が220%上昇。
attPerceptionRank04LongDesc,あなたが眼前で起きている事象を見逃すのは、油断している時だけです。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が8%、ヘッドショットダメージ量が230%上昇。
attPerceptionRank05LongDesc,あなたは観察家で、大切なことに気付くことができます。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が10%、ヘッドショットダメージ量が240%上昇。
attPerceptionRank06LongDesc,細部すらも見逃すことのないあなたの注意力は戦闘面でも明らかに役立っています。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が12%、ヘッドショットダメージ量が250%上昇。
attPerceptionRank07LongDesc,この領域に達したあなたは敵の弱点部位を簡単に見抜くことができます。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が14%、ヘッドショットダメージ量が260%上昇。
attPerceptionRank08LongDesc,あなたは驚異的な知覚力を持っています。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が16%、ヘッドショットダメージ量が270%上昇。
attPerceptionRank09LongDesc,あなたの認識力は研ぎ澄まされています。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が18%、ヘッドショットダメージ量が285%上昇。
attPerceptionRank10LongDesc,首から上を吹き飛ばすことに関してあなたの右に出る者はいません。解体ツール、ライフル、爆発物、または槍使用時、部位破壊率が20%、ヘッドショットダメージ量が300%上昇。
attStrengthRank01LongDesc,誰だってボディービルダーに憧れますが、重量挙げなんてまっぴらごめんです。採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が2%、ヘッドショットダメージ量が200%上昇。
attStrengthRank02LongDesc,やせこけているかもしれないけれど、強く大きくなりたいという野望が心にはあります。採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が4%、ヘッドショットダメージ量が210%上昇。
attStrengthRank03LongDesc,乳幼児がゾンビだらけの終末世界に何か御用でしょうか？採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が6%、ヘッドショットダメージ量が220%上昇。
attStrengthRank04LongDesc,スペアタイヤ並の三段腹は餓死を防ぐかもしれませんが、スレッジハンマーを振る助けにはなりません。採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が8%、ヘッドショットダメージ量が230%上昇。
attStrengthRank05LongDesc,がっしりとしたあなたは、採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が10%、ヘッドショットダメージ量が240%上昇。
attStrengthRank06LongDesc,かなりの強さを持つあなたはジムの皆から羨ましがられています。採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が12%、ヘッドショットダメージ量が250%上昇。
attStrengthRank07LongDesc,棍棒、スレッジハンマーを持ち上げることで、筋肉キレッキレに。採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が14%、ヘッドショットダメージ量が260%上昇。
attStrengthRank08LongDesc,あなたのデカい筋肉は、もはや伝説。採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が16%、ヘッドショットダメージ量が270%上昇。
attStrengthRank09LongDesc,サイズ、強さ、力の全てチャンピオン級。採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が18%、ヘッドショットダメージ量が285%上昇。
attStrengthRank10LongDesc,世紀末によって祭典そのものが潰えてさえいなかったら、あなたは今頃オリンピックチャンピオンになっていたでしょう。今ではゾンビを潰すことぐらいしかできません。採取ツール、ショットガン、棍棒、またはスレッジハンマー使用時、部位破壊率が20%、ヘッドショットダメージ量が300%上昇。
attFortitudeRank01LongDesc,体はあまり強くなく、健康的でもないけれど、少なくともまだ息はしています。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が200%、部位破壊率が2%上昇。
attFortitudeRank02LongDesc,前よりも調子が良くなっています。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が210%、部位破壊率が4%上昇。
attFortitudeRank03LongDesc,重力に逆らい、立ち続けています。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が220%、部位破壊率が6%上昇。
attFortitudeRank04LongDesc,ようやく普通の人間になった気分です。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が230%、部位破壊率が8%上昇。
attFortitudeRank05LongDesc,健康的です。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が240%、部位破壊率が10%上昇。
attFortitudeRank06LongDesc,超ヘルシーです。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が250%、部位破壊率が12%上昇。
attFortitudeRank07LongDesc,すさまじく健康的です。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が260%、部位破壊率が14%上昇。
attFortitudeRank08LongDesc,かなり元気ハツラツです。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が270%、部位破壊率が16%上昇。
attFortitudeRank09LongDesc,素晴らしい体格です。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が285%、部位破壊率が18%上昇。
attFortitudeRank10LongDesc,あなたの忍耐力はすさまじく、竜巻でさえも打ち負かせます。マシンガン、素手、ナックル使用時、ヘッドショットダメージ量が300%、部位破壊率が20%上昇。
attAgilityRank01LongDesc,ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が200%、部位破壊率2%上昇。
attAgilityRank02LongDesc,アメフトチームには参加できませんでしたが、だからといって練習をやめる理由にはなりません。ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が210%、部位破壊率4%上昇。
attAgilityRank03LongDesc,うるさくて粗野ですが、ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が220%、部位破壊率6%上昇。
attAgilityRank04LongDesc,器用さは欠けていますが、ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が230%、部位破壊率8%上昇。
attAgilityRank05LongDesc,俊敏になったあなたは、ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が240%、部位破壊率10%上昇。
attAgilityRank06LongDesc,動きはかなり軽快で、ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が250%、部位破壊率12%上昇。
attAgilityRank07LongDesc,あなたの器用さには目を見張るものがあります。ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が260%、部位破壊率14%上昇。
attAgilityRank08LongDesc,ひらりと舞って着地するのはお手のもの。ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が270%、部位破壊率16%上昇。
attAgilityRank09LongDesc,あなたの素早さはまるでプロアスリート級。ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が285%、部位破壊率18%上昇。
attAgilityRank10LongDesc,あなたの器用さがあれば、もはや敵なしです。ブレード武器、弓、クロスボウ、ハンドガン、smg-5使用時、ヘッドショットダメージ量が300%、部位破壊率20%上昇。
attIntellectRank1LongDesc,あなたの頭は空っぽですが、ロボット武器やバトン使用時、ヘッドショットダメージ量が200%、部位破壊率が2%上昇。
attIntellectRank2LongDesc,あまり賢くはありませんが、時おり冴えていることがあります。ロボット武器やバトン使用時、ヘッドショットダメージ量が210%、部位破壊率が4%上昇。
attIntellectRank3LongDesc,おバカさんでも冴えている時はあるのです。ロボット武器やバトン使用時、ヘッドショットダメージ量が220%、部位破壊率が6%上昇。
attIntellectRank4LongDesc,新しいことを学ぶのは好きではありませんが、学ばなきゃいけない時は学びます。ロボット武器やバトン使用時、ヘッドショットダメージ量が230%、部位破壊率が8%上昇。
attIntellectRank5LongDesc,平凡は平凡以下よりもいいことです。ロボット武器やバトン使用時、ヘッドショットダメージ量が240%、部位破壊率が10%上昇。
attIntellectRank6LongDesc,かなり賢くなってきています。ロボット武器やバトン使用時、ヘッドショットダメージ量が250%、部位破壊率が12%上昇。
attIntellectRank7LongDesc,みんなあなたが聡明だと思っています。ロボット武器やバトン使用時、ヘッドショットダメージ量が260%、部位破壊率が14%上昇。
attIntellectRank8LongDesc,あなたの知能には目を見張るものがあります。ロボット武器やバトン使用時、ヘッドショットダメージ量が270%、部位破壊率が16%上昇。
attIntellectRank9LongDesc,あなたは真の天才です。ロボット武器やバトン使用時、ヘッドショットダメージ量が285%、部位破壊率が18%上昇。
attIntellectRank10LongDesc,あなたは知能のマスターマインドです。ロボット武器やバトン使用時、ヘッドショットダメージ量が300%、部位破壊率が20%上昇。


armorPrimitiveHelmetDesc,薄くて軽量ですが、ちょっとした擦り傷から身を守ってくれます。\n\nフルセットボーナス：所持重量+6 武器・防具の性能/スタミナ効率上昇。
armorPrimitiveOutfitDesc,痒いかもしれませんが、少なくとも裸ではありません。\n\nフルセットボーナス：所持重量+6 武器・防具の性能/スタミナ効率上昇。
armorPrimitiveGlovesDesc,基本的なグリップ力を高めるためにデザインされたグローブですが、拳が血まみれになることを防ぐことも出来ます。\n\nフルセットボーナス：所持重量+6 武器・防具の性能/スタミナ効率上昇。
armorPrimitiveBootsDesc,生き残るために、あなたの一歩一歩を守ります。\n\nフルセットボーナス：所持重量+6 武器・防具の性能/スタミナ効率上昇。
armorAssassinBootsDesc,ミディアムアーマー\nしゃがみ移動中に走っても音がしなくなります。\n\nフルセットボーナス： より早く敵から隠れることができます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorAssassinGlovesDesc,ミディアムアーマー\n素早さ武器使用時、攻撃速度上昇。\n\nフルセットボーナス： より早く敵から隠れることができます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorAssassinHelmetDesc,ミディアムアーマー\nスニーク中、ダメージ量上昇。\n\nフルセットボーナス： より早く敵から隠れることができます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorAssassinOutfitDesc,ミディアムアーマー\nスニーク性能が上昇し、敵に見つかりにくくなります。\n\nフルセットボーナス： より早く敵から隠れることができます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorAthleticGlovesDesc,ライトアーマー\n最大スタミナ値上昇。\n\nフルセットボーナス： 食料値と水分値が減りにくくなります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorAthleticHelmetDesc,ライトアーマー\n商品の購入価格が安くなります。\n\nフルセットボーナス： 食料値と水分値が減りにくくなります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorAthleticOutfitDesc,ライトアーマー\n最大体力値上昇。\n\nフルセットボーナス： 食料値と水分値が減りにくくなります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorBikerBootsDesc,ミディアムアーマー\n近接武器使用時、スタミナ消費量軽減。\n\nフルセットボーナス： アーマー値上昇。ミニバイクとオートバイの燃料消費軽減。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorBikerGlovesDesc,ミディアムアーマー\n\n近接武器使用時、ダメージ量上昇。\n\nフルセットボーナス： アーマー値上昇。ミニバイクとオートバイの燃料消費軽減。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorBikerHelmetDesc,ミディアムアーマー\n脳震盪耐性が上昇。\n\nフルセットボーナス： アーマー値上昇。ミニバイクとオートバイの燃料消費軽減。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorBikerOutfitDesc,ミディアムアーマー\n最大体力値上昇。\n\nフルセットボーナス： アーマー値上昇。ミニバイクとオートバイの燃料消費軽減。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorCommandoBootsDesc,ミディアムアーマー\n走行速度上昇。\n\nフルセットボーナス： 治療済み重症の回復速度上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorCommandoGlovesDesc,ミディアムアーマー\n遠距離武器使用時、ダメージ量上昇。\n\nフルセットボーナス： 治療済み重症の回復速度上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorCommandoHelmetDesc,ミディアムアーマー\n脳震盪耐性上昇。\n\nフルセットボーナス： 治療済み重症の回復速度上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorCommandoOutfitDesc,ミディアムアーマー\n重傷の回復速度上昇。\n\nフルセットボーナス： 治療済み重症の回復速度上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorEnforcerBootsDesc,ライトアーマー\n走行速度上昇。\n\nフルセットボーナス： .44マグナム弾使用時、ダメージ量上昇。マグナムやデザートヴァルチャー使用時、リロード速度上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorEnforcerGlovesDesc,ライトアーマー\n車両の燃料消費量を下げます。\n\nフルセットボーナス： .44マグナム弾使用時、ダメージ量上昇。マグナムやデザートヴァルチャー使用時、リロード速度上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorEnforcerHelmetDesc,ライトアーマー\n交渉能力を上げます。\n\nフルセットボーナス： .44マグナム弾使用時、ダメージ量上昇。マグナムやデザートヴァルチャー使用時、リロード速度上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorEnforcerOutfitDesc,ライトアーマー\n重症デバフ耐性上昇。\n\nフルセットボーナス： .44マグナム弾使用時、ダメージ量上昇。マグナムやデザートヴァルチャー使用時、リロード速度上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorFarmerBootsDesc,ミディアムアーマー\n収穫時に種を入手する確率を追加します。\n\nフルセットボーナス： 飲食時のスタミナと体力回復量増加。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorFarmerGlovesDesc,ミディアムアーマー\nライフル使用時のダメージ量が上がります。\n\nフルセットボーナス： 飲食時のスタミナと体力回復量増加。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorFarmerHelmetDesc,ミディアムアーマー\n食料値や水分値が減りにくくなります。\n\nフルセットボーナス： 飲食時のスタミナと体力回復量増加。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorFarmerOutfitDesc,ミディアムアーマー\n追加収穫のチャンスを追加。\n\nフルセットボーナス： 飲食時のスタミナと体力回復量増加。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorLumberjackBootsDesc,ライトアーマー\n走行中スタミナ消費軽減。\n\nフルセットボーナス： 斧使用時、スタミナ消費量軽減。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorLumberjackGlovesDesc,ライトアーマー\n斧使用時、ダメージ量上昇。\n\nフルセットボーナス： 斧使用時、スタミナ消費量軽減。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorLumberjackHelmetDesc,ライトアーマー\n伐採時の木材獲得量上昇。\n\nフルセットボーナス： 斧使用時、スタミナ消費量軽減。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorLumberjackOutfitDesc,ライトアーマー\n荷重制限を軽減します。\n\nフルセットボーナス： 斧使用時、スタミナ消費量軽減。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorMinerBootsDesc,ヘビーアーマー\n落下ダメージを軽減します。\n\nフルセットボーナス： 採掘ツールの耐久値減少率が軽減されます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorMinerGlovesDesc,ヘビーアーマー\n採掘ツール使用時の対物ダメージ量が増えます。\n\nフルセットボーナス： 採掘ツールの耐久値減少率が軽減されます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorMinerOutfitDesc,ヘビーアーマー\n採掘用ツール使用時の消費スタミナ量が軽減されます。\n\nフルセットボーナス： 採掘ツールの耐久値減少率が軽減されます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorNerdBootsDesc,ヘビーアーマー\n落下ダメージが軽減されます。\n\nフルセットボーナス： 武器やツールの耐久値減少率が軽減されます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
